Date,Transaction Description,Category,Amount (Rupiah),Type
2020-01-01,Water water mall mall phone investment.,Health & Fitness,6203900,Expense
2020-01-01,Loan insurance.,Rent,13845100,Expense
2020-01-01,Health entertainment grocery fuel service package.,Utilities,15465800,Expense
2020-01-01,Fee charge.,Entertainment,5675500,Expense
2020-01-02,Score each.,Food & Drink,14856900,Expense
2020-01-02,Quality throughout.,Utilities,14755800,Expense
2020-01-02,Account delivery gross utility.,Investment,16699100,Income
2020-01-02,Mortgage annual credit.,Investment,34920600,Income
2020-01-02,Plan processed hospital.,Entertainment,8453600,Expense
2020-01-02,Management automatic.,Salary,17257600,Income
2020-01-02,System annual.,Travel,15431900,Expense
2020-01-03,Utility fuel charge insurance shop internet taxi.,Investment,12924900,Income
2020-01-03,Purchase train debit.,Health & Fitness,7653900,Expense
2020-01-03,Weekly tax.,Entertainment,5502800,Expense
2020-01-04,Platform fuel project order.,Food & Drink,12720300,Expense
2020-01-04,Mortgage discount personal fee balance booking insurance.,Salary,9572200,Income
2020-01-04,Instead ahead despite measure ago.,Rent,11850800,Expense
2020-01-04,Taxi online support.,Utilities,5026400,Expense
2020-01-04,Package loan software tools system pharmacy.,Salary,9107900,Income
2020-01-04,Budget travel hardware premium.,Entertainment,16172700,Expense
2020-01-05,Transfer bill business loan household.,Utilities,14521000,Expense
2020-01-05,Order contract.,Health & Fitness,619400,Expense
2020-01-05,Special online plan material household.,Entertainment,3506700,Expense
2020-01-05,Mall gym package package savings insurance household.,Utilities,11635800,Expense
2020-01-05,Special market invoice tax.,Shopping,14840500,Expense
2020-01-05,Information last everything thank serve.,Investment,22910000,Income
2020-01-05,Equipment weekly flight.,Travel,10664900,Expense
2020-01-05,Tools mall order system restaurant health delivery.,Food & Drink,14730700,Expense
2020-01-06,Taxi vendor processed standard hardware.,Rent,11475400,Expense
2020-01-06,Restaurant software system store.,Health & Fitness,17262500,Expense
2020-01-06,Phone loan taxi adjustment system.,Food & Drink,17429000,Expense
2020-01-06,Daily system network budget platform online parking.,Food & Drink,12643600,Expense
2020-01-06,Flight water travel mall annual.,Food & Drink,3947400,Expense
2020-01-06,Household net deal.,Salary,8552200,Income
2020-01-06,Store hotel deal train bonus.,Utilities,10591300,Expense
2020-01-06,Special savings travel.,Rent,12945400,Expense
2020-01-06,Processed client.,Investment,31860100,Income
2020-01-06,Transfer mall online grocery.,Utilities,9299000,Expense
2020-01-06,Taxi tax personal credit service economy grocery.,Food & Drink,11574800,Expense
2020-01-07,Entertainment material digital economy network.,Shopping,9971100,Expense
2020-01-07,Mortgage direct contract order regular hotel.,Food & Drink,9538600,Expense
2020-01-07,Support adjustment savings phone economy mall.,Rent,2303300,Expense
2020-01-07,Pending premium.,Other,23784100,Income
2020-01-07,Premium bill train maintenance salary fee household.,Utilities,14093400,Expense
2020-01-07,Shop business.,Salary,10483200,Income
2020-01-08,Annual maintenance internet daily investment interest travel.,Salary,11972100,Income
2020-01-08,Plan taxi deal.,Salary,5084700,Income
2020-01-08,Direct mall special tools.,Utilities,11355000,Expense
2020-01-08,Monthly phone express pending store parking.,Salary,8234900,Income
2020-01-09,System flight.,Food & Drink,8755100,Expense
2020-01-09,Net gym.,Utilities,7777400,Expense
2020-01-09,Pharmacy order delivery booking bus loan bonus.,Shopping,9383600,Expense
2020-01-09,Maintenance grocery standard parking.,Travel,3621200,Expense
2020-01-09,Discount transfer plan business household renewal shop.,Other,18298300,Income
2020-01-10,Debit advance deposit entertainment tools pharmacy.,Travel,765300,Expense
2020-01-10,Train hotel water package payment.,Travel,8648200,Expense
2020-01-10,Water processed weekly.,Shopping,2388200,Expense
2020-01-10,Order gym salary standard.,Salary,3213600,Income
2020-01-11,Travel store service.,Travel,12420900,Expense
2020-01-11,Renewal renewal bonus insurance.,Rent,13198500,Expense
2020-01-11,Mortgage regular renewal.,Food & Drink,14259800,Expense
2020-01-12,System gross.,Investment,35049100,Income
2020-01-12,Deal personal travel package daily freelance platform.,Salary,18197900,Income
2020-01-12,Debit subscription household parking deposit credit.,Shopping,17634300,Expense
2020-01-12,Support express business salary.,Health & Fitness,8771900,Expense
2020-01-12,Reward subscription online mall.,Rent,9961900,Expense
2020-01-12,Order gross train.,Health & Fitness,7532400,Expense
2020-01-13,Future choice whatever from.,Food & Drink,11268800,Expense
2020-01-13,Annual tools.,Shopping,18579700,Expense
2020-01-13,Network reward.,Health & Fitness,10859000,Expense
2020-01-13,Economy support discount market.,Utilities,2487200,Expense
2020-01-13,Discount entertainment standard system delivery hospital weekly.,Rent,4440900,Expense
2020-01-14,Pharmacy insurance tools.,Travel,7898400,Expense
2020-01-14,Health service bill.,Salary,14409000,Income
2020-01-14,Special annual payment loan app train.,Investment,28754000,Income
2020-01-14,Annual order.,Shopping,5278700,Expense
2020-01-14,Freelance payment loan pending net payment.,Shopping,11145500,Expense
2020-01-14,Loan priority flight.,Salary,14126400,Income
2020-01-14,Service bonus maintenance annual water.,Food & Drink,7113400,Expense
2020-01-14,Benefit suggest page southern.,Shopping,4486800,Expense
2020-01-15,Salary software service utility plan personal.,Health & Fitness,16572400,Expense
2020-01-15,Regular service package parking debit net utility.,Shopping,9564000,Expense
2020-01-15,App support interest restaurant debit.,Travel,16751000,Expense
2020-01-15,Hardware fee.,Food & Drink,3797800,Expense
2020-01-16,Internet invoice.,Health & Fitness,16017500,Expense
2020-01-16,Maintenance utility subscription.,Salary,8922000,Income
2020-01-16,Plan package renewal software service parking.,Travel,5714000,Expense
2020-01-16,Direct clinic.,Health & Fitness,4409300,Expense
2020-01-16,Daily loan order special net regular.,Entertainment,7104300,Expense
2020-01-17,Payment entertainment bonus salary vendor budget bonus.,Food & Drink,15030600,Expense
2020-01-17,Electricity pending deposit train store.,Food & Drink,8044400,Expense
2020-01-18,Regular personal balance.,Food & Drink,4838500,Expense
2020-01-18,Monthly digital mall bonus.,Shopping,3556600,Expense
